crank_angle_rad,total_volume_m3,specific_volume_m3_per_kg,pressure_kpa,temperature_k,specific_internal_energy_kj_per_kg,heat_added_to_next_state_kj_per_kg,work_on_gas_to_next_state_kj_per_kg,polytropic_exponent_to_next_state
-3.141592654,0.0002727272727,0.5667694468,100,300,156.6955129,0,0.01063965004,1.281860466
-3.109594951,0.0002726760813,0.5666630631,100.0240659,300.0158736,156.7061525,0,0.03193126219,1.281848884
-3.077597248,0.0002725225217,0.5663439425,100.096318,300.0635109,156.7380838,0,0.05325982945,1.281825713
-3.045599545,0.0002722666382,0.565812177,100.2169194,300.1429612,156.7913436,0,0.07465005163,1.281790937
-3.013601842,0.0002719085047,0.5650679203,100.386143,300.2543065,156.8659937,0,0.09612672334,1.281744533
-2.981604139,0.0002714482259,0.5641113897,100.6043723,300.397662,156.9621204,0,0.1177147722,1.28168647
-2.949606436,0.0002708859374,0.5629428672,100.872103,300.573176,157.0798352,0,0.1394392975,1.281616711
-2.917608733,0.0002702218072,0.561562702,101.1899457,300.78103,157.2192745,0,0.1613256092,1.281535191
-2.88561103,0.000269456037,0.559971313,101.5586278,301.0214391,157.3806001,0,0.1833992673,1.281441888
-2.853613327,0.0002685888632,0.5581691919,101.9789971,301.294652,157.5639993,0,0.2056861224,1.281336726
-2.821615624,0.0002676205592,0.5561569065,102.4520253,301.6009514,157.7696855,0,0.2282123563,1.281219639
-2.789617921,0.000266551437,0.5539351052,102.9788124,301.9406546,157.9978978,0,0.2510045244,1.281090548
-2.757620218,0.0002653818493,0.551504521,103.5605912,302.3141134,158.2489023,0,0.2740895978,1.280949372
-2.725622515,0.0002641121918,0.5488659763,104.1987334,302.7217146,158.5229919,0,0.2974950079,1.28079602
-2.693624812,0.0002627429058,0.5460203883,104.8947552,303.1638807,158.8204869,0,0.3212486912,1.280630393
-2.661627109,0.0002612744809,0.5429687744,105.6503243,303.6410702,159.1417356,0,0.3453791362,1.280452387
-2.629629406,0.0002597074579,0.5397122583,106.4672678,304.1537781,159.4871148,0,0.3699154314,1.280261888
-2.597631703,0.0002580424316,0.5362520762,107.3475801,304.7025367,159.8570302,0,0.3948873153,1.280058779
-2.565634,0.0002562800542,0.5325895834,108.293433,305.2879158,160.2519175,0,0.420325228,1.279842933
-2.533636297,0.0002544210385,0.5287262613,109.3071853,305.9105237,160.6722427,0,0.446260365,1.279614216
-2.501638595,0.0002524661613,0.5246637241,110.3913945,306.5710078,161.1185031,0,0.4727247332,1.279372489
-2.469640892,0.0002504162671,0.5204037269,111.5488292,307.2700555,161.5912278,0,0.4997512092,1.279117606
-2.437643189,0.0002482722714,0.5159481725,112.7824827,308.0083947,162.0909791,0,0.5273736002,1.278849414
-2.405645486,0.000246035165,0.5112991194,114.0955879,308.7867949,162.6183527,0,0.5556267077,1.278567755
-2.373647783,0.0002437060171,0.5064587898,115.4916343,309.6060681,163.1739794,0,0.5845463944,1.278272462
-2.34165008,0.0002412859794,0.5014295772,116.9743851,310.4670699,163.7585258,0,0.6141696533,1.277963366
-2.309652377,0.0002387762898,0.4962140542,118.5478981,311.3707001,164.3726954,0,0.6445346818,1.277640289
-2.277654674,0.0002361782765,0.4908149807,120.2165465,312.3179043,165.0172301,0,0.6756809574,1.277303048
-2.245656971,0.0002334933612,0.4852353116,121.985043,313.3096747,165.6929111,0,0.7076493189,1.276951457
-2.213659268,0.0002307230633,0.4794782041,123.858466,314.3470516,166.4005604,0,0.7404820498,1.276585322
-2.181661565,0.0002278690032,0.4735470259,125.8422882,315.4311245,167.1410424,0,0.7742229671,1.276204445
-2.149663862,0.0002249329059,0.4674453618,127.9424079,316.5630335,167.9152654,0,0.8089175134,1.275808624
-2.117666159,0.0002219166045,0.4611770209,130.1651835,317.743971,168.7241829,0,0.8446128532,1.275397652
-2.085668456,0.0002188220428,0.4547460433,132.5174718,318.9751827,169.5687958,0,0.8813579732,1.274971318
-2.053670753,0.0002156512793,0.4481567063,135.006669,320.2579697,170.4501537,0,0.9192037873,1.274529407
-2.02167305,0.0002124064889,0.44141353,137.6407574,321.59369,171.3693575,0,0.9582032449,1.2740717
-1.989675347,0.000209089966,0.4345212827,140.4283551,322.9837599,172.3275608,0,0.9984114426,1.273597976
-1.957677644,0.0002057041269,0.4274849855,143.3787721,324.4296566,173.3259722,0,1.03988574,1.273108011
-1.925679941,0.0002022515112,0.420309916,146.5020717,325.9329193,174.3658579,0,1.082685876,1.272601579
-1.893682238,0.0001987347836,0.4130016123,149.8091375,327.4951517,175.4485438,0,1.126874091,1.27207845
-1.861684535,0.0001951567353,0.4055658747,153.3117488,329.1180241,176.5754179,0,1.172515243,1.271538394
-1.829686833,0.0001915202848,0.3980087682,157.0226623,330.803275,177.7479332,0,1.219676931,1.270981181
-1.79768913,0.0001878284782,0.3903366231,160.9557038,332.5527138,178.9676101,0,1.268429607,1.270406578
-1.765691427,0.0001840844892,0.382556035,165.1258687,334.368223,180.2360397,0,1.318846691,1.269814356
-1.733693724,0.0001802916188,0.3746738639,169.5494335,336.2517601,181.5548864,0,1.371004673,1.269204283
-1.701696021,0.0001764532946,0.3666972326,174.2440794,338.2053605,182.9258911,0,1.424983202,1.26857613
-1.669698318,0.0001725730688,0.3586335234,179.229029,340.2311391,184.3508743,0,1.480865167,1.267929672
-1.637700615,0.0001686546171,0.3504903748,184.5251982,342.3312932,185.8317394,0,1.538736743,1.267264683
-1.605702912,0.0001647017357,0.342275676,190.1553644,344.5081041,187.3704762,0,1.598687417,1.266580945
-1.573705209,0.0001607183388,0.3339975613,196.1443527,346.7639399,188.9691636,0,1.660809975,1.265878243
-1.541707506,0.0001567084552,0.3256644031,202.519244,349.1012567,190.6299736,0,1.725200437,1.265156369
-1.509709803,0.0001526762242,0.3172848035,209.309604,351.5226004,192.355174,0,1.79195793,1.264415123
-1.4777121,0.0001486258914,0.3088675856,216.5477392,354.0306085,194.1471319,0,1.861184484,1.263654312
-1.445714397,0.0001445618037,0.3004217828,224.2689796,356.6280102,196.0083164,0,1.932984731,1.262873757
-1.413716694,0.0001404884039,0.2919566281,232.5119936,359.3176274,197.9413011,0,2.007465478,1.262073289
-1.381718991,0.0001364102248,0.2834815414,241.3191363,362.1023739,199.9487666,0,2.08473513,1.261252755
-1.349721288,0.0001323318832,0.2750061168,250.7368357,364.9852541,202.0335017,0,2.164902926,1.260412018
-1.317723585,0.0001282580723,0.2665401079,260.8160205,367.9693603,204.1984047,0,2.248077939,1.259550961
-1.285725882,0.0001241935555,0.2580934135,271.6125921,371.057869,206.4464826,0,2.334367793,1.258669491
-1.253728179,0.000120143158,0.249676061,283.1879456,374.2540349,208.7808504,0,2.423877031,1.25776754
-1.221730476,0.0001161117589,0.2412981903,295.6095424,377.5611829,211.2047274,0,2.51670505,1.25684507
-1.189732773,0.0001121042831,0.2329700359,308.9515379,380.9826974,213.7214325,0,2.612943514,1.25590208
-1.15773507,0.0001081256925,0.2247019094,323.2954663,384.5220079,216.334376,0,2.712673127,1.254938608
-1.125737368,0.0001041809768,0.2165041802,338.7309825,388.182571,219.0470491,0,2.815959625,1.253954739
