engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,heat_addition_angle_degrees,thermal_efficiency_percent,net_specific_power_kw_per_kg,work_consumption_ratio,maximum_pressure_kpa,maximum_temperature_k
500,-120,8,3.2,7.5,3.998533078,166.6055449,0.9348978707,4917.621546,1846.123985
1000,-120,8,3.2,15,4.509807853,375.8173211,0.9263600155,4906.420748,1840.229608
1500,-120,8,3.2,22.5,5.066040385,633.2550482,0.9169306276,4884.105939,1833.283851
2000,-120,8,3.2,30,5.66892354,944.82059,0.9067159064,4870.083044,1826.281141
2500,-120,8,3.2,37.5,6.320149042,1316.697717,0.8955099372,4846.344452,1818.262173
3000,-120,8,3.2,45,7.021228584,1755.307146,0.883311847,4819.482291,1809.553718
3500,-120,8,3.2,52.5,7.773379332,2267.235639,0.8701535355,4796.049527,1800.484641
4000,-120,8,3.2,60,8.577387795,2859.129265,0.8559125894,4769.238412,1790.688829
4500,-120,8,3.2,67.5,9.433424068,3537.534026,0.8406541655,4745.728448,1780.512839
5000,-120,8,3.2,75,10.34077407,4308.655862,0.8242615426,4718.986225,1769.619834
5500,-120,8,3.2,82.5,11.29744447,5177.995383,0.8065966811,4682.738822,1757.699274
6000,-120,8,3.2,90,12.29958269,6149.791344,0.7880379491,4654.920664,1745.730953
6500,-120,8,3.2,97.5,13.34065923,7226.190416,0.7683811119,4621.444853,1733.04182
7000,-120,8,3.2,105,14.41042537,8406.081465,0.7478574686,4586.459314,1719.95567
7500,-120,8,3.2,112.5,15.49385921,9683.662009,0.726670351,4548.611204,1706.557958
8000,-120,8,3.2,120,16.57067545,11047.11697,0.7054212904,4515.964897,1693.486837
8500,-120,8,3.2,127.5,17.61623773,12478.16839,0.6843784346,4463.635173,1676.252214
9000,-120,8,3.2,135,18.6042768,13953.2076,0.6641178552,4384.530038,1652.168713
9500,-120,8,3.2,142.5,19.51060563,15445.89612,0.6450465885,4288.257868,1623.206427
10000,-120,8,3.2,150,20.31623,16930.19166,0.6274492732,4181.668303,1590.933806
500,-96,8,3.2,7.5,8.115079152,338.128298,0.8641561646,4787.19961,1796.455845
1000,-96,8,3.2,15,8.892307965,741.0256637,0.8503986723,4765.782675,1787.21852
1500,-96,8,3.2,22.5,9.722334254,1215.291782,0.835482655,4738.770072,1777.127192
2000,-96,8,3.2,30,10.60556424,1767.594039,0.8194135099,4709.779674,1766.365093
2500,-96,8,3.2,37.5,11.54194143,2404.571131,0.8021716757,4679.826429,1754.984026
3000,-96,8,3.2,45,12.53053582,3132.633956,0.783700486,4647.405693,1742.912619
3500,-96,8,3.2,52.5,13.56914047,3957.665969,0.7638899623,4608.598205,1729.965447
4000,-96,8,3.2,60,14.65370432,4884.568105,0.7431484339,4578.622965,1716.983612
4500,-96,8,3.2,67.5,15.77752188,5916.570703,0.7211071392,4540.099213,1703.120886
5000,-96,8,3.2,75,16.93013997,7054.224986,0.6981285557,4501.227962,1688.917073
5500,-96,8,3.2,82.5,18.096079,8294.036208,0.6745702204,4464.675674,1674.675083
6000,-96,8,3.2,90,19.25379777,9626.898883,0.650750669,4427.835017,1660.484602
6500,-96,8,3.2,97.5,20.37580522,11036.8945,0.6272224675,4389.732593,1646.411767
7000,-96,8,3.2,105,21.43091919,12501.36953,0.604693489,4319.659345,1625.908424
7500,-96,8,3.2,112.5,22.38864077,13992.90048,0.5837508074,4216.336407,1597.853839
8000,-96,8,3.2,120,23.22393589,15482.62393,0.5647739001,4094.121802,1564.739364
