algorithm,framework,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise,front_size_before_hv48,fixed_cardinality_limit,hv48_solution,scaled_minimization_efficiency,scaled_minimization_power,hv48_compromise_score,is_hv48_run_compromise
NSGA-II,DEAP,1,20260719,1,512.2803401038668,-3.607922217544754,11.99999862456198,4.395364382426976,38.4320967729161,1640.6673004778486,0.7059526126256636,False,48,48,1,-0.9608024193229024,-0.06076545557325365,0.7059526126256636,False
NSGA-II,DEAP,1,20260719,2,720.220198796723,-3.607922217544754,11.999999379084796,4.3998319931417615,38.36718609214612,2302.735199546362,0.6864582339119467,False,48,48,2,-0.959179652303653,-0.08528648887208748,0.6864582339119467,False
NSGA-II,DEAP,1,20260719,3,1248.5967324566682,-9.775918640121889,11.999999253962944,4.399719306462496,38.25736015276389,3980.667906596578,0.6371607763515024,False,48,48,3,-0.9564340038190972,-0.14743214468876215,0.6371607763515025,False
NSGA-II,DEAP,1,20260719,4,1363.7292276464934,-7.930091806478515,11.999999253962944,4.399837826559259,38.18067187583623,4339.008180688194,0.6268181311142814,False,48,48,4,-0.9545167968959059,-0.16070400669215534,0.6268181311142813,False
NSGA-II,DEAP,1,20260719,5,1592.9831913582632,-11.561869778564514,11.999928952169292,4.380613886079437,38.13853438497524,5062.837018192059,0.6056502267263849,False,48,48,5,-0.9534633596243809,-0.18751248215526145,0.6056502267263849,False
NSGA-II,DEAP,1,20260719,6,1935.9434207560323,-14.34916488373858,11.999993215221826,4.39944126841935,37.98668351922376,6128.339169615239,0.575086258217647,False,48,48,6,-0.949667087980594,-0.22697552480056443,0.575086258217647,False
NSGA-II,DEAP,1,20260719,7,2281.011980252841,-15.091461887429915,11.9999563307965,4.399990826674365,37.7892388349212,7183.142208924266,0.5457214530657318,False,48,48,7,-0.94473097087303,-0.26604230403423207,0.5457214530657318,False
NSGA-II,DEAP,1,20260719,8,2370.5168403613507,-16.202459854370787,11.999988265577928,4.399991724040149,37.75126805434497,7457.501388985018,0.538071425754167,False,48,48,8,-0.9437817013586243,-0.27620375514759327,0.538071425754167,False
NSGA-II,DEAP,1,20260719,9,2503.622385423814,-16.202459854370787,11.99926048581714,4.399991724040149,37.645259375444354,7854.126173120681,0.5276940608020022,False,48,48,9,-0.9411314843861088,-0.29089356196743266,0.5276940608020022,False
NSGA-II,DEAP,1,20260719,10,2769.3068108265397,-21.518415723513115,11.999997999366537,4.305246423296598,37.49411642276491,8652.725997957174,0.5065379380202514,False,48,48,10,-0.9373529105691227,-0.3204713332576731,0.5065379380202514,False
NSGA-II,DEAP,1,20260719,11,2920.505463957768,-23.537771688282238,11.999995756132815,4.377777823295126,37.3624714581229,9093.10850336784,0.4959820598323555,False,48,48,11,-0.9340617864530725,-0.33678179642103107,0.4959820598323558,False
NSGA-II,DEAP,1,20260719,12,3194.785022842112,-23.546792690546937,11.971307579261776,4.3976629199344215,37.20523542263212,9905.227408294992,0.4757194189810395,False,48,48,12,-0.930130885565803,-0.366860274381296,0.47571941898103953,False
NSGA-II,DEAP,1,20260719,13,3385.195465921141,-23.546792690546937,11.999998625752744,4.3976629199344215,37.08841045648592,10462.626576293198,0.462490781587362,False,48,48,13,-0.9272102614121479,-0.3875046880108592,0.46249078158736207,False
NSGA-II,DEAP,1,20260719,14,3437.764791962126,-23.546792690546937,11.971307579261776,4.3976629199344215,37.0162945547823,10604.442845777494,0.4602740543081354,False,48,48,14,-0.9254073638695575,-0.39275714243620347,0.4602740543081354,False
NSGA-II,DEAP,1,20260719,15,3693.4651531255176,-25.94925876904392,11.998600056182282,4.398564489804976,36.856673817233336,11344.070033672082,0.4439145345015045,False,48,48,15,-0.9214168454308334,-0.4201507419878549,0.4439145345015045,False
NSGA-II,DEAP,1,20260719,16,3721.054931247381,-28.906160831256813,11.998600056182282,4.383308863578779,36.80041174019191,11411.362798147926,0.443743002777593,False,48,48,16,-0.9200102935047978,-0.4226430665980713,0.44374300277759304,False
NSGA-II,DEAP,1,20260719,17,3963.439746723674,-29.918541488424538,11.999229648022157,4.390104212953474,36.63044878235935,12098.548053694072,0.430427305838189,False,48,48,17,-0.9157612195589838,-0.4480943723590397,0.430427305838189,False
