algorithm,display_name,framework,run,seed,evaluations,fixed_cardinality_limit,front_size_before_hv48,front_size_hv48,was_truncated_for_hv48,hypervolume_raw,hypervolume_48,runtime_seconds,hv48_compromise_score,hv48_compromise_thermal_efficiency_percent,hv48_compromise_net_specific_power_kw_per_kg,hv48_compromise_engine_speed_rpm,hv48_compromise_ignition_timing_degrees,hv48_compromise_compression_ratio,hv48_compromise_connecting_rod_to_crank_ratio,is_hv48_representative_run
NSGA-II,NSGA-II,DEAP,1,20260719,4848,48,48,48,False,0.8461300301713846,0.8461300301713846,22.98235979999663,0.3989537958216788,35.690374713460486,15061.09808937788,5063.919292625744,-36.176586582420754,11.999954403299144,4.399952321229004,False
NSGA-II,NSGA-II,DEAP,2,20260720,4848,48,45,45,False,0.8457918593178987,0.8457918593178987,24.00728589999926,0.3999927365959994,35.31404860744446,16072.407297388716,5461.534295107879,-38.49762577313601,11.997503982559106,4.399994866198996,False
NSGA-II,NSGA-II,DEAP,3,20260721,4848,48,45,45,False,0.8459209963324594,0.8459209963324598,25.92964030000076,0.39851240066247917,35.52342414137924,15521.664449387645,5243.300101120824,-37.25290662149938,11.99996557754318,4.399720389896901,False
NSGA-II,NSGA-II,DEAP,4,20260722,4848,48,47,47,False,0.846009335912078,0.8460093359120783,22.358538899999985,0.39850729418356445,35.507344222284146,15566.841714393466,5260.942620864503,-37.96149657897686,11.99915405121099,4.399781891339401,False
NSGA-II,NSGA-II,DEAP,5,20260723,4848,48,45,45,False,0.8458811716495779,0.8458811716495778,21.757782699998643,0.4010039295218102,35.43136495825714,15668.95138009539,5306.8070276904655,-40.26338351683685,11.999139821766864,4.396590393460031,False
NSGA-II,NSGA-II,DEAP,6,20260724,4848,48,46,46,False,0.8461260069468828,0.8461260069468827,26.57865329999913,0.3986968787782003,35.65097032246616,15172.37626168407,5106.972222449575,-36.73093993715239,11.9998759908192,4.399411714369196,False
NSGA-II,NSGA-II,DEAP,7,20260725,4848,48,46,46,False,0.8458573951925215,0.8458573951925217,27.03135150000162,0.39916570270252216,35.453200254300256,15690.955777410623,5310.986539391148,-39.02560875568604,11.999954133708371,4.374392232380851,False
NSGA-II,NSGA-II,DEAP,8,20260726,4848,48,44,44,False,0.8457616111391116,0.8457616111391116,21.83363670000108,0.39911566561696565,35.64607091317355,15166.523089876884,5105.703725996415,-35.917733483017685,11.99994147811224,4.3820483429767725,False
NSGA-II,NSGA-II,DEAP,9,20260727,4848,48,45,45,False,0.8459673149785972,0.8459673149785972,22.611779800001383,0.39963394364377125,35.35563019103464,15960.153169103784,5417.011010535201,-39.814293276706536,11.999977908172106,4.398674293854029,True
NSGA-II,NSGA-II,DEAP,10,20260728,4848,48,47,47,False,0.8458895385948183,0.8458895385948183,31.111568099997385,0.3992822353638372,35.41475171153883,15798.229138099665,5353.101193574864,-39.43659219322704,11.999945253307502,4.398704089185746,False
NSGA-II,NSGA-II,DEAP,11,20260729,4848,48,47,47,False,0.8460614402921557,0.8460614402921556,25.007317100000364,0.40003918835526003,35.31490528411844,16067.459913473223,5459.72068763802,-38.25895893217295,11.99992502244443,4.398221541381868,False
NSGA-II,NSGA-II,DEAP,12,20260730,4848,48,46,46,False,0.8460134381158685,0.8460134381158686,25.75736580000012,0.3989491830023899,35.69077966138569,15060.284244622517,5063.588205415337,-36.23164521891477,11.999881332630936,4.399937422755302,False
NSGA-II,NSGA-II,DEAP,13,20260731,4848,48,47,47,False,0.8462593667344743,0.8462593667344742,23.934805400000187,0.39911746333987747,35.67035922786486,15104.405797868894,5081.330087442355,-37.103944747786,11.998404808519894,4.394240588250801,False
NSGA-II,NSGA-II,DEAP,14,20260732,4848,48,47,47,False,0.8458730191258099,0.84587301912581,22.192293600000998,0.3991277651067851,35.483495103447574,15605.767181086794,5277.642623058473,-39.02285076466755,11.999691042837007,4.39984089327522,False
NSGA-II,NSGA-II,DEAP,15,20260733,4848,48,47,47,False,0.8460236487967544,0.8460236487967544,23.02301499999885,0.39944148007845726,35.681073350764244,15063.17244196906,5065.936989245787,-37.42140724576052,11.999924601640716,4.397823291457284,False
