algorithm,framework,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise
NSGA-II,DEAP,1,20260719,1,512.2803401038668,-3.607922217544754,11.999998624561979,4.395364382426976,38.432096772916104,1640.6673004778486,0.7059526126256636,False
NSGA-II,DEAP,1,20260719,2,720.220198796723,-3.607922217544754,11.999999379084796,4.3998319931417615,38.36718609214612,2302.735199546362,0.6864582339119467,False
NSGA-II,DEAP,1,20260719,3,1248.5967324566682,-9.775918640121887,11.999999253962944,4.399719306462496,38.257360152763894,3980.6679065965786,0.6371607763515024,False
NSGA-II,DEAP,1,20260719,4,1363.7292276464934,-7.930091806478515,11.999999253962944,4.399837826559259,38.180671875836225,4339.008180688194,0.6268181311142814,False
NSGA-II,DEAP,1,20260719,5,1592.9831913582632,-11.561869778564514,11.999928952169292,4.380613886079437,38.13853438497524,5062.837018192059,0.6056502267263849,False
NSGA-II,DEAP,1,20260719,6,1935.9434207560325,-14.349164883738581,11.999993215221826,4.39944126841935,37.98668351922376,6128.3391696152385,0.575086258217647,False
NSGA-II,DEAP,1,20260719,7,2281.011980252841,-15.091461887429915,11.9999563307965,4.399990826674365,37.7892388349212,7183.142208924266,0.5457214530657318,False
NSGA-II,DEAP,1,20260719,8,2370.5168403613507,-16.202459854370787,11.999988265577928,4.399991724040149,37.75126805434497,7457.501388985018,0.538071425754167,False
NSGA-II,DEAP,1,20260719,9,2503.6223854238146,-16.202459854370787,11.99926048581714,4.399991724040149,37.645259375444354,7854.126173120681,0.5276940608020022,False
NSGA-II,DEAP,1,20260719,10,2769.3068108265393,-21.518415723513115,11.999997999366535,4.305246423296598,37.49411642276491,8652.725997957174,0.5065379380202514,False
NSGA-II,DEAP,1,20260719,11,2920.505463957768,-23.537771688282234,11.999995756132815,4.377777823295126,37.362471458122904,9093.108503367841,0.4959820598323555,False
NSGA-II,DEAP,1,20260719,12,3194.785022842112,-23.546792690546937,11.971307579261776,4.3976629199344215,37.20523542263212,9905.227408294993,0.4757194189810395,False
NSGA-II,DEAP,1,20260719,13,3385.1954659211406,-23.546792690546937,11.999998625752744,4.3976629199344215,37.08841045648592,10462.626576293198,0.46249078158736207,False
NSGA-II,DEAP,1,20260719,14,3437.764791962126,-23.546792690546937,11.971307579261776,4.3976629199344215,37.0162945547823,10604.442845777494,0.4602740543081354,False
NSGA-II,DEAP,1,20260719,15,3693.4651531255176,-25.949258769043922,11.998600056182282,4.398564489804976,36.856673817233336,11344.070033672082,0.4439145345015045,False
NSGA-II,DEAP,1,20260719,16,3721.0549312473804,-28.906160831256813,11.998600056182282,4.383308863578779,36.80041174019191,11411.362798147926,0.44374300277759304,False
NSGA-II,DEAP,1,20260719,17,3963.439746723674,-29.918541488424538,11.999229648022155,4.390104212953474,36.63044878235935,12098.548053694072,0.430427305838189,False
NSGA-II,DEAP,1,20260719,18,4221.591855098429,-29.91565525748699,11.99852218756051,4.398031639362985,36.430530432206105,12816.235879126392,0.4186278347295833,False
NSGA-II,DEAP,1,20260719,19,4409.7060083559845,-33.02004495860814,11.999989582736179,4.39549579711571,36.26036662571451,13324.79638121701,0.41246273264060196,False
NSGA-II,DEAP,1,20260719,20,4448.263633022225,-31.86838449682827,11.952619662791767,4.383438190894944,36.19866024874255,13418.431995717394,0.4128089566561337,False
NSGA-II,DEAP,1,20260719,21,4692.04993131187,-32.42906688486197,11.928243647752907,4.399653060248813,35.95271944695039,14057.66290096154,0.40858427357092886,False
NSGA-II,DEAP,1,20260719,22,4831.054847704817,-32.42906688486197,11.999273892031516,4.399653060248813,35.86095106204594,14437.18512263352,0.4041501584085111,False
NSGA-II,DEAP,1,20260719,23,5063.919292625744,-36.176586582420754,11.999954403299144,4.399952321229004,35.690374713460486,15061.098089377881,0.3989537958216788,True
