algorithm,framework,run,seed,evaluations,front_size,hypervolume,runtime_seconds,compromise_engine_speed_rpm,compromise_ignition_timing_degrees,compromise_compression_ratio,compromise_connecting_rod_to_crank_ratio,compromise_thermal_efficiency_percent,compromise_net_specific_power_kw_per_kg,compromise_score
NSGA-II,DEAP,1,20260719,4848,48,0.8461300301713846,22.98235979999663,5063.919292625744,-36.176586582420754,11.999954403299144,4.399952321229004,35.690374713460486,15061.098089377881,0.3989537958216788
NSGA-III,DEAP,1,20270719,4848,48,0.8458383316869527,27.60735769999883,5299.6094700676485,-37.45478683745219,11.999977126813329,4.345766343577882,35.463736038547125,15661.99594615531,0.3991341312462237
MOPSO,PySwarm + Pareto repository,1,20280719,4848,192,0.8470848093466685,25.206367499999033,5123.927782960307,-36.64591134446427,12.0,4.2530103853366,35.62024492835629,15209.63021868798,0.3996540135936794
MOEA/D,pymoo,1,20290719,4848,48,0.8395228433826623,140.75840479999897,5284.416876053189,-38.32266816132778,11.999949929451084,4.399685899626273,35.48530175644708,15626.593954467404,0.3985636215938983
NSGA-III,DEAP,2,20270720,4848,48,0.845329253379716,25.079726500000106,5238.206976941314,-37.86688224610478,11.995419678504064,4.397095800732144,35.525039407460866,15507.292440023053,0.39872945474108384
MOPSO,PySwarm + Pareto repository,2,20280720,4848,192,0.8466014367858504,24.10510559999966,5119.985750891577,-36.45437590232869,11.97133963505014,4.302363841575805,35.6049449032301,15191.400880484816,0.40096636336720837
MOEA/D,pymoo,2,20290720,4848,45,0.8346086643182481,141.96064249999836,5070.854600657127,-36.78352823801032,11.99994311665921,4.398841996879194,35.68338920305224,15078.77319227803,0.398950892104121
NSGA-II,DEAP,2,20260720,4848,45,0.8457918593178987,24.00728589999926,5461.534295107879,-38.49762577313601,11.997503982559106,4.399994866198996,35.31404860744446,16072.407297388716,0.3999927365959994
MOPSO,PySwarm + Pareto repository,3,20280721,4848,192,0.8465762942420109,25.518856500002585,5128.540749629895,-36.607763775670506,11.990080070100493,4.2028021564132665,35.602258902150524,15215.636296546056,0.4005792227871657
MOEA/D,pymoo,3,20290721,4848,48,0.8408887668366659,144.792881399997,5140.69137926424,-37.865939218927764,11.999987358850587,4.399819691734136,35.61368704703906,15256.581165544017,0.39898270402944375
