configuration_id,run,seed,generation,evaluations,hypervolume
C01,1,31000001,0,12,0.7759312311629838
C01,1,31000001,1,24,0.7782140045456971
C01,1,31000001,2,36,0.7905630202526537
C01,1,31000001,3,48,0.7979071358431161
C01,1,31000001,4,60,0.8003453246826369
C01,1,31000001,5,72,0.8027941835748363
C01,1,31000001,6,84,0.8112363492874051
C01,1,31000001,7,96,0.8115520971762075
C01,1,31000001,8,108,0.8124944449323144
C01,1,31000001,9,120,0.8125056101230849
C01,1,31000001,10,132,0.815876598037805
C01,1,31000001,11,144,0.8160619607509002
C01,1,31000001,12,156,0.8183380330161725
C01,1,31000001,13,168,0.8184302368870383
C01,1,31000001,14,180,0.8192961286640659
C01,1,31000001,15,192,0.8216932161407918
C01,1,31000001,16,204,0.8215807532343223
C01,1,31000001,17,216,0.8216146401521557
C01,1,31000001,18,228,0.8244582472172696
C01,1,31000001,19,240,0.8252934397154016
C01,1,31000001,20,252,0.8253230880167307
C01,1,31000001,21,264,0.8259192599863555
C01,1,31000001,22,276,0.8260793732727073
C01,1,31000001,23,288,0.8275189542465847
C01,1,31000001,24,300,0.8275831205921261
C01,1,31000001,25,312,0.8286988252486762
C01,1,31000001,26,324,0.8283654306739677
C01,1,31000001,27,336,0.8283813672751065
C01,1,31000001,28,348,0.8283906023382587
C01,1,31000001,29,360,0.8283813930837831
C01,1,31000001,30,372,0.8287193872666664
C01,1,31000001,31,384,0.8288484394428054
C01,1,31000001,32,396,0.8307034969281364
C01,1,31000001,33,408,0.8306840582544244
C01,1,31000001,34,420,0.8361694321096412
C01,1,31000001,35,432,0.8361694321096412
C01,1,31000001,36,444,0.8344473759893363
C01,1,31000001,37,456,0.8344183787642346
C01,1,31000001,38,468,0.8348691382365417
C01,1,31000001,39,480,0.8348485807050988
C01,1,31000001,40,492,0.835298748319472
C01,1,31000001,41,504,0.8354438044043964
C01,2,31000002,0,12,0.7715296041484616
C01,2,31000002,1,24,0.7715296041484616
C01,2,31000002,2,36,0.7812301490321018
C01,2,31000002,3,48,0.7815854423060219
C01,2,31000002,4,60,0.7924597880970993
C01,2,31000002,5,72,0.7964511883377872
C01,2,31000002,6,84,0.7944952156994666
C01,2,31000002,7,96,0.7956610806200365
C01,2,31000002,8,108,0.8059904642534489
C01,2,31000002,9,120,0.807864642563156
C01,2,31000002,10,132,0.8073967152496913
C01,2,31000002,11,144,0.8069511556978683
C01,2,31000002,12,156,0.8075633308098901
C01,2,31000002,13,168,0.8077388542132667
