configuration_id,population_size,generations,crossover_probability,crossover_eta,mutation_eta,mutation_probability_per_variable,reference_partitions,nominal_evaluations,is_baseline,selected_for_confirmation
C01,12,41,0.9,20.0,20.0,0.25,11,504,False,False
C02,24,20,0.7,30.0,10.0,0.25,23,504,False,False
C03,56,8,0.7,30.0,10.0,0.5,55,504,False,False
C04,24,20,0.9,10.0,20.0,0.5,23,504,False,False
C05,12,41,0.9,10.0,40.0,0.25,11,504,False,False
C06,36,13,1.0,20.0,20.0,0.25,35,504,False,False
C07,36,13,1.0,30.0,40.0,1.0,35,504,False,False
C08,24,20,1.0,20.0,40.0,0.25,23,504,False,False
C09,56,8,1.0,30.0,10.0,1.0,55,504,False,True
C10,36,13,0.9,20.0,10.0,0.5,35,504,False,False
C11,12,41,0.7,10.0,40.0,1.0,11,504,False,False
C12,24,20,0.9,20.0,20.0,0.5,23,504,True,True
C13,56,8,1.0,30.0,40.0,1.0,55,504,False,False
C14,12,41,0.7,20.0,40.0,1.0,11,504,False,False
C15,12,41,0.9,30.0,20.0,0.5,11,504,False,False
C16,36,13,0.7,30.0,10.0,0.5,35,504,False,False
C17,12,41,1.0,30.0,10.0,0.25,11,504,False,False
C18,36,13,0.7,10.0,40.0,1.0,35,504,False,False
C19,12,41,0.9,10.0,10.0,0.5,11,504,False,False
C20,24,20,0.7,20.0,40.0,0.5,23,504,False,False
C21,24,20,1.0,20.0,10.0,0.5,23,504,False,False
C22,56,8,0.7,10.0,40.0,1.0,55,504,False,True
C23,36,13,1.0,30.0,40.0,0.25,35,504,False,True
C24,24,20,0.7,10.0,20.0,1.0,23,504,False,False
C25,12,41,0.9,20.0,10.0,1.0,11,504,False,False
C26,24,20,1.0,10.0,20.0,0.25,23,504,False,False
C27,36,13,0.7,10.0,10.0,0.5,35,504,False,False
C28,56,8,1.0,10.0,40.0,0.25,55,504,False,False
C29,24,20,0.7,10.0,10.0,1.0,23,504,False,False
C30,56,8,1.0,20.0,40.0,0.5,55,504,False,False
C31,36,13,1.0,20.0,20.0,0.5,35,504,False,False
C32,12,41,0.7,10.0,20.0,1.0,11,504,False,False
C33,56,8,0.9,30.0,20.0,0.25,55,504,False,False
C34,56,8,0.9,30.0,10.0,1.0,55,504,False,True
C35,36,13,0.9,30.0,20.0,0.25,35,504,False,False
C36,56,8,0.9,20.0,20.0,0.25,55,504,False,False
