first_factor,second_factor,degrees_of_freedom,sum_of_squares,f_statistic,p_value,partial_eta_squared
population_size,mutation_probability_per_variable,6,0.001032947241741189,2.430522158945382,0.026875791563700156,0.06011602198433693
mutation_eta,mutation_probability_per_variable,4,0.0007200623163088095,2.5150241683923986,0.04234199408542848,0.041906575948976545
population_size,crossover_eta,6,0.0006172106586361525,1.4158471695970771,0.2093549629352152,0.03592075957431591
crossover_probability,mutation_eta,4,0.00046853542561741193,1.611866999446979,0.17209843634147418,0.027268077989518733
population_size,mutation_eta,6,0.00042525044195550893,0.9643263640989321,0.45018223973085214,0.024748955110576377
population_size,crossover_probability,6,0.0003176120700772063,0.7156415588711971,0.637351851319789,0.018484558954886203
crossover_probability,mutation_probability_per_variable,4,0.0002735276044134455,0.9301440519592518,0.4471384251871765,0.01591890739020115
crossover_eta,mutation_eta,4,0.00014402238096662343,0.48603268584904014,0.7459931944314484,0.008381892385744334
crossover_probability,crossover_eta,4,0.00013036737955906055,0.4395988161207758,0.7799191695196299,0.007587191231956967
crossover_eta,mutation_probability_per_variable,4,0.00011835930633483094,0.3988267402041887,0.8093863802451512,0.006888338894909741
