configuration_id,population_size,generations,crossover_probability,crossover_eta,mutation_eta,mutation_probability_per_variable,reference_partitions,nominal_evaluations,stage,is_baseline,is_confirmed,run,seed,evaluations,front_size,hypervolume,igd_plus,spacing,runtime_seconds,maximum_efficiency_percent,maximum_power_kw_per_kg,compromise_engine_speed_rpm,compromise_ignition_timing_degrees,compromise_efficiency_percent,compromise_power_kw_per_kg,compromise_score
C01,12,41,0.9,20.0,20.0,0.25,11,504,screening,False,False,1,31000001,504,12,0.8354438044043964,0.011283508902414885,0.05351083268065659,15.861928401514888,37.19533392884253,25659.558891231845,4780.744852360715,-33.307202069782946,35.98619733374238,14336.73563827715,0.4031273702339989
C01,12,41,0.9,20.0,20.0,0.25,11,504,screening,False,False,2,31000002,504,11,0.8303877543042033,0.013214585476980874,0.12549183358600702,9.938127098605037,38.43158501999553,25645.666948921975,5648.728519004666,-36.24461877679444,35.077002915218266,16511.705560700266,0.4116429588328185
C01,12,41,0.9,20.0,20.0,0.25,11,504,screening,False,False,3,31000003,504,11,0.8058948031682878,0.017331614683320454,0.12838344136076751,9.368531800806522,38.42406737433397,24865.448006271534,5670.995667391382,-43.42175939082439,35.130296625570004,16601.979996481798,0.4061709945551884
C01,12,41,0.9,20.0,20.0,0.25,11,504,screening,False,False,4,31000004,504,11,0.8361660740278234,0.01364907721708385,0.0318806485820717,8.881209500133991,38.12031984355541,25569.130478846102,5359.500820353009,-41.363863009012775,35.41403432201268,15816.795500069715,0.40294162960592916
C01,12,41,0.9,20.0,20.0,0.25,11,504,screening,False,False,5,31000005,504,12,0.8366300646555158,0.009192653973834656,0.06910767659233726,10.460503900423646,37.976283974952594,25537.684747598152,5861.104477980817,-42.08257238995003,34.99903768209195,17094.418040294044,0.40630583360721273
C01,12,41,0.9,20.0,20.0,0.25,11,504,screening,False,False,6,31000006,504,12,0.8327390076277795,0.01043769730385552,0.01329781305283479,11.131909999996424,36.55337685544941,25643.537559308133,5135.59571301905,-32.72934815271948,35.55106833515374,15214.6595112719,0.4073799756277154
C01,12,41,0.9,20.0,20.0,0.25,11,504,screening,False,False,7,31000007,504,10,0.8392380266719344,0.010497108411408659,0.07973593056109551,9.436779201030731,38.297828859361665,25658.498325042925,4859.695717865951,-34.68309993022794,35.92475073415198,14548.613109013339,0.4012800774685911
C02,24,20,0.7,30.0,10.0,0.25,23,504,screening,False,False,1,31000001,504,20,0.8331616307948488,0.009458260692700615,0.02008966044935463,9.252600898966193,36.485371068456104,25653.817570011524,5400.2298416781305,-39.77132039105729,35.42701587538281,15942.835694320593,0.39944721252889576
C02,24,20,0.7,30.0,10.0,0.25,23,504,screening,False,False,2,31000002,504,21,0.8439343715282615,0.006071597414352935,0.018020751961723064,9.497821800410748,38.41311632168355,25624.728703678844,5309.584105188712,-36.91699597191793,35.507127705389664,15710.673407120226,0.3992659770077927
C02,24,20,0.7,30.0,10.0,0.25,23,504,screening,False,False,3,31000003,504,22,0.8363031602832502,0.007027023321621561,0.013911594191830988,9.069329001009464,37.592423013810404,25441.738474985257,5272.336062744842,-36.912247538347344,35.545418850916995,15617.28280608833,0.39888675531592843
C02,24,20,0.7,30.0,10.0,0.25,23,504,screening,False,False,4,31000004,504,20,0.836251639315261,0.009375031607090738,0.044329198141153124,9.75152200087905,38.37195370052606,25478.596931031705,5009.970178229836,-37.46370835495104,35.77554664691732,14936.20181757718,0.4004347987040356
C02,24,20,0.7,30.0,10.0,0.25,23,504,screening,False,False,5,31000005,504,21,0.8432210398989576,0.006798105225345621,0.03453346765016855,9.06595710106194,38.048612702133426,25642.559394155654,5481.617081899102,-39.62559444271355,35.35749611853973,16151.354558047384,0.3996656249718525
C02,24,20,0.7,30.0,10.0,0.25,23,504,screening,False,False,6,31000006,504,24,0.8353614129684591,0.007403885939736037,0.018170580763759846,8.782843301072717,37.67918710229174,25435.134182446098,4978.565119970285,-32.99156149669459,35.76103470041592,14836.553334461474,0.40357048066054746
C02,24,20,0.7,30.0,10.0,0.25,23,504,screening,False,False,7,31000007,504,23,0.8443215028706758,0.005098150633401379,0.03763188413494718,8.907576899975538,38.310913895639445,25607.488904585378,5148.117635357843,-34.14695577575404,35.60712521969553,15275.805773992472,0.4026208945247684
C03,56,8,0.7,30.0,10.0,0.5,55,504,screening,False,False,1,31000001,504,53,0.8479534662044073,0.002961910525472142,0.01849582100192321,9.579954700544477,38.31628439928467,25637.425295335368,5007.349087940653,-36.219362847867444,35.79290916035273,14935.63258656957,0.3994581112205151
C03,56,8,0.7,30.0,10.0,0.5,55,504,screening,False,False,2,31000002,504,49,0.8377675765722694,0.0036838392887763925,0.016337006182920496,9.12357689999044,38.42340939471518,25308.400326132196,5696.1238497773065,-39.91355424072229,35.14994423878386,16684.869641406593,0.4031986423053408
C03,56,8,0.7,30.0,10.0,0.5,55,504,screening,False,False,3,31000003,504,54,0.8462973174365372,0.003427712920931973,0.028756962264776014,9.02738219872117,38.431357016230386,25644.899903522284,5374.905400211427,-37.76239611126503,35.45234230245114,15879.41550763239,0.39915110352437155
C03,56,8,0.7,30.0,10.0,0.5,55,504,screening,False,False,4,31000004,504,52,0.8445824298965764,0.002835415413823009,0.012037385795203021,8.718633400276303,38.31317202451426,25501.162698778793,5148.987598847398,-38.32173355867843,35.65246518896633,15297.841760527184,0.39940002485708953
C03,56,8,0.7,30.0,10.0,0.5,55,504,screening,False,False,5,31000005,504,51,0.8480125379745191,0.0030462237996267544,0.015909053616340683,9.418254099786282,38.39208389033473,25633.01241238171,5153.75786424507,-34.79058695770341,35.62420847708594,15299.878716357296,0.4010529233887564
C03,56,8,0.7,30.0,10.0,0.5,55,504,screening,False,False,6,31000006,504,53,0.8478972502373492,0.003383727269024171,0.016338870945640484,8.482338899746537,38.39906997218549,25643.615276104527,5204.120304039447,-38.69294138012482,35.6025856123129,15440.011555111683,0.3992504605563284
C03,56,8,0.7,30.0,10.0,0.5,55,504,screening,False,False,7,31000007,504,54,0.8409356393101101,0.003503759678254571,0.020662394578790235,8.558019498363137,38.39330123788699,25399.180127943397,5417.833753830124,-38.976200791248814,35.417412423652515,15990.471041848914,0.39907109546307123
C04,24,20,0.9,10.0,20.0,0.5,23,504,screening,False,False,1,31000001,504,23,0.8432821842420088,0.005606526629697014,0.025304227253190086,9.48801390081644,38.030314618897364,25618.94204714797,5393.6726551423035,-38.87958542421157,35.439753970092895,15929.20265778841,0.3989102784910988
C04,24,20,0.9,10.0,20.0,0.5,23,504,screening,False,False,2,31000002,504,23,0.8466663800194169,0.0050972370957567785,0.015934493566645315,9.546175099909306,38.42157998877928,25660.74287435583,5321.567887629961,-40.574192383309764,35.46790441697394,15728.738432241447,0.4013625889222838
C04,24,20,0.9,10.0,20.0,0.5,23,504,screening,False,False,3,31000003,504,24,0.8370929094098007,0.005098440587455809,0.03240898196735292,9.7368554007262,37.926178775232394,25387.584314241063,5002.222750346631,-38.20368610227956,35.76095295117598,14907.021035537331,0.4019441520662044
C04,24,20,0.9,10.0,20.0,0.5,23,504,screening,False,False,4,31000004,504,22,0.8446555027228168,0.004652295510390945,0.035628216774422086,8.788142699748278,38.236802388091284,25611.447882123248,5366.906292833534,-38.923781648052966,35.46373302286499,15860.877660648546,0.3988131059264345
C04,24,20,0.9,10.0,20.0,0.5,23,504,screening,False,False,5,31000005,504,23,0.8422259028805962,0.004574526317239818,0.034978866809717714,15.90867130085826,38.21006535719464,25529.39963392605,5591.894688256808,-39.36075894609384,35.250456039012015,16426.403156931785,0.40130185440056687
C04,24,20,0.9,10.0,20.0,0.5,23,504,screening,False,False,6,31000006,504,23,0.8270109983501417,0.007376659301399713,0.019233334774686774,8.400803700089455,38.42294380346347,25011.158488833837,5417.368926618302,-40.18102773224669,35.40657216658601,15984.205321110956,0.39990784116503475
C04,24,20,0.9,10.0,20.0,0.5,23,504,screening,False,False,7,31000007,504,24,0.8442249371609227,0.005169467107231752,0.03526465407472032,8.78116000071168,38.4116379640509,25654.527447277975,5045.615905277577,-37.292107754163055,35.751134698639866,15032.207822264867,0.39962329232141874
