engine_speed_rpm,ignition_timing_degrees,heat_addition_angle_degrees,thermal_efficiency_percent,net_specific_power_kw_per_kg,work_consumption_ratio,maximum_pressure_kpa,maximum_temperature_k
500,-120,7.5,4.717968995,196.5820415,0.937634945,7831.668404,1960.992189
1000,-120,15,5.30297326,441.9144383,0.9296720334,7813.854231,1953.954477
1500,-120,22.5,5.935461689,741.9327111,0.9209047675,7771.540196,1945.543246
2000,-120,30,6.616901161,1102.81686,0.9114755584,7749.08115,1937.270288
2500,-120,37.5,7.348892198,1531.019208,0.9011575973,7705.418936,1927.699452
3000,-120,45,8.133012111,2033.253028,0.889963401,7655.644221,1917.331156
3500,-120,52.5,8.970737772,2616.465184,0.8779390153,7614.696879,1906.664114
4000,-120,60,9.863350326,3287.783442,0.8649447285,7567.0569,1895.14475
4500,-120,67.5,10.81179097,4054.421612,0.8510516075,7527.888715,1883.285915
5000,-120,75,11.81642949,4923.512289,0.8361093163,7482.250758,1870.56269
5500,-120,82.5,12.87668425,5901.813614,0.8199304346,7415.769993,1856.479007
6000,-120,90,13.99039545,6995.197725,0.8029061229,7369.041522,1842.466147
6500,-120,97.5,15.15281257,8207.773474,0.7847345269,7309.812393,1827.453098
7000,-120,105,16.3550595,9540.451376,0.7655957532,7247.210787,1811.853288
7500,-120,112.5,17.58214783,10988.84239,0.7456245328,7177.842707,1795.713324
8000,-120,120,18.811282,12540.85467,0.7254192717,7119.654704,1779.913676
8500,-120,127.5,20.01217057,14175.28749,0.7052170742,7029.33902,1759.181995
9000,-120,135,21.15079656,15863.09742,0.685640965,6898.012626,1730.724477
9500,-120,142.5,22.19547008,17571.41382,0.6671404289,6741.528896,1696.91604
10000,-120,150,23.12185103,19268.2092,0.6500330887,6569.930633,1659.708662
500,-96,7.5,9.364458052,390.1857521,0.8722689654,7599.507184,1901.786552
1000,-96,15,10.22794899,852.3290829,0.8597154851,7563.664077,1890.992052
1500,-96,22.5,11.14688016,1393.36002,0.8461199935,7516.117745,1879.163755
2000,-96,30,12.12223286,2020.372144,0.8314894258,7465.089908,1866.572643
2500,-96,37.5,13.15483571,2740.590773,0.8157939823,7412.842408,1853.285118
